text,source,date,url
"positive step for the recognition and political participation rights of Aboriginal and Torres Strait
Islander people within the state.
9. Why do we need to put the Voice in the Constitution?05/09/2023, 04:52 10 questions about the V oice to Parliament - answered by the experts
https://theconversation.com/10-questions-about-the-voice-to-parliament-answered-by-the-experts-207014 6/6There are two key parts to this answer. The first is that the Voice has a number of objectives, one of
which is the constitutional recognition of Aboriginal and Torres Strait Islander people as the First
Peoples of the land. First Nations people, through the Uluru Statement from the Heart, indicated they
wished for recognition in the form of the Voice. If we are serious about recognition, we should do it in
a way that accords with the wishes of those to be recognised.
The second part of the answer relates to the operation of the Voice. If the Voice is in the Constitution,",10 questions about the Voice to Parliament answered by the experts - The Conversation.pdf,2023-09-14,https://theconversation.com/10-questions-about-the-voice-to-parliament-answered-by-the-experts-207014
"While calculating the exact legal 
interpretation  of any new proposal 
cannot be done with absolute certainty, 
the overwhelming majority of expert 
legal opinion that has  considered the 
various legal risks associated with the 
constitutional amendment have 
indicated that it represents very low 
legal risk in terms of likelihood of 
extensive or prolonged litigation in the 
Courts, or the clogging up of 
government and parliamen tary decision 
making.  
 
While not unanimous, an overwhelming 
majority of expert legal opinion is that 
the Voice proposed in the constitutional 
amendment is constitutionally and 
legally sound. These included 
submissions to the joint parliamentary 
committee looking at the amendment, 
from a former High Court Chief Justice, 
a former High Court Justice, Australia’s 
leading public law barrister, the 
Solicitor -General of the Commonwealth",Expert Analysis of the 'Official Yes and No Cases' published by the Australian Electorial Commission - UNSW.pdf,2023-09-14,https://www.gtcentre.unsw.edu.au/sites/default/files/documents/Expert%20Analysis%20Yes%20No%20Pamphlet%2028%20August%20FINAL.pdf
"the entire community.  
We are being asked to abandon equality of citizenship - one of our most important values - in order 
to insert a divisive institution into our system of governance while having only a limited idea about its 
structure and powers, how it would change the business of government and the implications that could 
be read into the new provision by the High Court.  
This referendum should be rejected - primarily because it is wrong in principle but also because the 
proponents of this change have failed to provide the community with enough information to make a fully 
informed decision.  
They have forgotten that the Constitution draws its legitimacy from the entire community - not from 
politicians and insiders. 
- Chris Merritt, Vice President Rule of Law Institute of Australia 10 
 
© Rule of Law Institute of Australia",The Case for Voting No - Rule of Law Education Centre.pdf,2023-09-14,https://www.ruleoflaw.org.au/wp-content/uploads/Voice-Case-for-No-PDF.pdf
"referendum pamphlet    |   The case for voting Yes
Who 
wrote 
this?Who 
wrote 
this?The content of this argument (which can be viewed at aec.gov.au/referendums/pamphlet.htm) 
was authorised by a majority of those members of Parliament who voted for the proposed law and desired to forward such a case. This text has been published without amendment by the Electoral Commissioner.The content of this argument (which can be viewed at aec.gov.au/referendums/pamphlet.htm) was authorised by a majority of those members of Parliament who voted against the proposed law and desired to forward such a case. This text has been published without amendment by the Electoral Commissioner.REASONS TO VOTE NO – A SUMMARY
This Referendum is not simply about “recognition”. This Voice proposal goes much further.
If passed, it would represent the biggest change to our Constitution in our history.It is legally risky, with unknown consequences. It would be divisive and permanent.If you don’t know, vote no.
RISKY",Official Referendum Booklet.pdf,2023-09-14,https://www.aec.gov.au/referendums/files/pamphlet/referendum-booklet.pdf
"the V oice, including  the AFL Commission, the 
National Rugby League, Netball Australia, Cricket 
Australia, Football Australia, Tennis Australia and 
Rugby Australia.  The ACTU and many individual 
unions  will be supporting a Yes vote. The Law 
Council of Australia, the peak national 
representative body for the legal profession , says 
the amendment is necessary and overdue. The 
peak body for doctors, the Australian Medical 
Association , supports the Uluru Statement and 
the Voice. Most of Australia’s ASX Top 20 
companies  have committed to speak up for a 
Yes vote. Organisations in  the not -for-profit 
sector  were amongst the earliest supporters of 
the Uluru Statement and its call for a 
constitutionally enshrined Voice . Amongst 
political parties, the Australian Labor Party 
officially supports the proposal, as do the 
Australian Greens, while the Liberal and National 
Parties do not. But the supporters of the Yes 
campaign include politicians from all sides of",Expert Analysis of the 'Official Yes and No Cases' published by the Australian Electorial Commission - UNSW.pdf,2023-09-14,https://www.gtcentre.unsw.edu.au/sites/default/files/documents/Expert%20Analysis%20Yes%20No%20Pamphlet%2028%20August%20FINAL.pdf
"much higher level of generality and principle. 
Perversely, this m ight operate de facto to 
entrench the original version as legislated, 
making future parliaments reluctant to 
amend the model that accompanied the 
referendum. That would undermine one of 
the key objectives of the constitutional 
amendment – to provide flexib ility for the 
model to evolve, as it adapts to changing 
needs and circumstances.’  
 
*** 
 
This is a subjective statement, but it 
does not accord with the views of 
constitutional experts, such as the 
Indigenous Law Centre and the 
Constitutional Expert Group s et out 
immediately above.  
 
*** 
 
While there is subjectivity in drawing 
any analogy, this analogy is apt to 
mislead, in that the purchase of a house 
or a car is the purchase of a particular 
house, or a particular model/make of 
car. The Voice proposal is not  a vote on 
the particular model of the Voice. It asks  
 58  
 
 
 
 
 
 
 
 
 
 
 
 
 
*** 
 
Yet you are being asked to vote to",Expert Analysis of the 'Official Yes and No Cases' published by the Australian Electorial Commission - UNSW.pdf,2023-09-14,https://www.gtcentre.unsw.edu.au/sites/default/files/documents/Expert%20Analysis%20Yes%20No%20Pamphlet%2028%20August%20FINAL.pdf
"government departments) will be 
determined after the referendum, and 
will evolve according to considerations 
of effectiveness and efficiency. Given the 
NIAA’s current role in providing advice 
to the government on the views of 
Aboriginal and Torres Strait Islander 
people, the Voice will be able to 
enhance, and make more efficient and 
effective, the work of the NIAA in this 
respect.   
 77  
 
9. THIS VOICE WILL BE PERMANENT  
 
This Voice is not a trial or pilot program.  
 
 
 
 
 
 
 
 
 
 
 
 
*** 
 
It will not be in legislation that can be 
reversed.  
 
 
 
 
 
 
*** 
 
Once it is in the Constitution it won’t be 
undone.  
 
 
*** 
 
Once the High Court makes an 
interpretation, Parliament can’t overrule 
it.  
 
 
 
 
 To say that the Voice is permanent and 
is ”not a trial or pilot program” is 
misleading in two respects. First, it could 
be removed by a future constitutional 
referendum. Second, the constitutional 
amendment has been carefully drafted",Expert Analysis of the 'Official Yes and No Cases' published by the Australian Electorial Commission - UNSW.pdf,2023-09-14,https://www.gtcentre.unsw.edu.au/sites/default/files/documents/Expert%20Analysis%20Yes%20No%20Pamphlet%2028%20August%20FINAL.pdf
"How the Voice will work:
The Voice is about advice.
When governments listen to people about issues that affect them, they:
• Make better decisions.
• Get better results.
• Deliver better value for money
.
The Voice will give advice on key issues facing Aboriginal and Torres Strait Islander people, from better 
infant health to improving services in remote areas. Yes case
continues
p.12The case for voting   No
11 10
Your official Yes  | No  referendum pamphlet    |   The case for voting NoYour official Yes  | No
 referendum pamphlet    |   The case for voting Yes
Who 
wrote 
this?Who 
wrote 
this?The content of this argument (which can be viewed at aec.gov.au/referendums/pamphlet.htm)",Official Referendum Booklet.pdf,2023-09-14,https://www.aec.gov.au/referendums/files/pamphlet/referendum-booklet.pdf
"between lega l experts, there is an 
overwhelming majority of legal expert 
opinion that the Voice in the 
constitutional amendment is 
constitutionally and legally sound, and it 
will not give rise to unintended and 
unworkable legal consequences.  
 
*** 
 
This is one selecti ve quote from a 
former High Court judge. Other former 
members of the High Court including  
 52 (Ian Calli nan AC KC, former High Court 
Judge)   
The Australian, 17/12/2022  
 
 
 
 
 
 
 
 
*** 
 
This opens a legal can of worms.  former High Court Chief Justice Robert 
French and former Justice Kenneth 
Hayne have said that the High Court will 
not seek to imply something that makes 
government un workable. Hayne said of 
High Court judges, “You do not make 
implications in a Constitution that will 
bring government to a halt” and called 
the claim to the contrary “untenable”.  
  
 
*** 
 
This is misleading. The constitutional 
amendment deliberately focuses  on the",Expert Analysis of the 'Official Yes and No Cases' published by the Australian Electorial Commission - UNSW.pdf,2023-09-14,https://www.gtcentre.unsw.edu.au/sites/default/files/documents/Expert%20Analysis%20Yes%20No%20Pamphlet%2028%20August%20FINAL.pdf
"and/or Torres Strait Islander, according to the standard three part test.
• Members would be chosen from each of the states, territories and the Torres Strait Islands.
• The Voice would have specific remote representatives as well as representation for the mainland Torres Strait Islander population.
• The Voice would have balanced gender representation at the national level. 
The Voice will be empowering, 
community-led, inclusive, respectful and culturally informed
• Members of the Voice would be expected to connect with – and reflect the wishes of – their communities.
• The Voice would consult with grassroots communities and regional entities to ensure its representations are informed by their experience, including the experience of those who have been historically excluded from participation.
The Voice will be accountable 
and transparent
• The Voice would be subject to standard governance 
and reporting requirements to ensure transparency and accountability.",Recognising Aboriginal and Torres Strait Islander peoples through a Voice - Information Booklet.pdf,2023-09-14,https://voice.gov.au/sites/default/files/2023-06/voice-information-booklet-english.pdf
"research such as that conducted i n 
Australia led by Professors Fiona Stanley 
and Marcia Langton , and internationally 
at the Harvard Project on Indigenous 
Governance and Development.  
 
Supporting this position is the fact that 
the previous Coalition federal 
government, led by Prime Minister Scott 
Morrison, oversaw in 2020 -2021 the 
development of a proposal for a federal 
Voice to “ensure that Indigenous 
Australians are heard at all levels of 
government” and said “the best 
outcomes are achieved when 
Indigenous Australians are at the centre 
of decision -making”. Rather than risky, 
the Voice is compatibl e with Australia’s 
system of parliamentary government.  
 
*** 
  
 42 This Voice specifically covers all areas of 
“Executive Government”. This means no 
issue is beyond its reach.  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
*** 
 
The High Court would ultimately 
determine its powers, not the 
Parliament.  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 The Voice has a broad function of",Expert Analysis of the 'Official Yes and No Cases' published by the Australian Electorial Commission - UNSW.pdf,2023-09-14,https://www.gtcentre.unsw.edu.au/sites/default/files/documents/Expert%20Analysis%20Yes%20No%20Pamphlet%2028%20August%20FINAL.pdf
